"code","timestamp","trade_timestamp","trade_price","trade_volume","ask_bid","prev_closing_price","change","change_price","sequential_id"
"KRW-BTC",1575565419657,1575565418000,8583000.0,0.01763678,"ASK",8515000.0,"RISE",68000.0,1575565418000004
"KRW-BTC",1575565419688,1575565418000,8580000.0,0.96499432,"ASK",8515000.0,"RISE",65000.0,1575565418000005
"KRW-BTC",1575565419698,1575565418000,8580000.0,0.002331,"ASK",8515000.0,"RISE",65000.0,1575565418000006
"KRW-BTC",1575565419753,1575565418000,8580000.0,0.00012,"ASK",8515000.0,"RISE",65000.0,1575565418000007
"KRW-BTC",1575565419765,1575565418000,8580000.0,0.03496503,"ASK",8515000.0,"RISE",65000.0,1575565418000008
"KRW-BTC",1575565419777,1575565419000,8580000.0,0.04393677,"ASK",8515000.0,"RISE",65000.0,1575565419000000
"KRW-BTC",1575565419790,1575565419000,8579000.0,0.96916141,"ASK",8515000.0,"RISE",64000.0,1575565419000001
"KRW-BTC",1575565419801,1575565419000,8579000.0,0.00012,"ASK",8515000.0,"RISE",64000.0,1575565419000002
"KRW-BTC",1575565419815,1575565419000,8578000.0,0.01165772,"ASK",8515000.0,"RISE",63000.0,1575565419000003
"KRW-BTC",1575565419826,1575565419000,8578000.0,0.00012,"ASK",8515000.0,"RISE",63000.0,1575565419000004
"KRW-BTC",1575565419839,1575565419000,8577000.0,0.00012,"ASK",8515000.0,"RISE",62000.0,1575565419000005
"KRW-BTC",1575565419849,1575565419000,8577000.0,0.74150931,"ASK",8515000.0,"RISE",62000.0,1575565419000006
"KRW-BTC",1575565420457,1575565420000,8580000.0,0.00662983,"BID",8515000.0,"RISE",65000.0,1575565420000000
"KRW-XRP",1575565420501,1575565420000,255.0,223.42223093,"ASK",253.0,"RISE",2.0,1575565420000000
"KRW-BTC",1575565421433,1575565421000,8577000.0,0.2360323,"BID",8515000.0,"RISE",62000.0,1575565421000000
"KRW-BTC",1575565421888,1575565421000,8577000.0,0.3005,"BID",8515000.0,"RISE",62000.0,1575565421000001
"KRW-BTC",1575565422182,1575565422000,8577000.0,0.075,"BID",8515000.0,"RISE",62000.0,1575565422000000
"KRW-BTC",1575565422268,1575565422000,8580000.0,0.05,"BID",8515000.0,"RISE",65000.0,1575565422000001
"KRW-BTC",1575565422348,1575565422000,8577000.0,0.39076931,"BID",8515000.0,"RISE",62000.0,1575565422000002
"KRW-BTC",1575565423331,1575565423000,8580000.0,0.05,"BID",8515000.0,"RISE",65000.0,1575565423000000
"KRW-BTC",1575565423775,1575565423000,8580000.0,0.1294,"BID",8515000.0,"RISE",65000.0,1575565423000001
"KRW-BTC",1575565423951,1575565423000,8580000.0,2.47e-06,"BID",8515000.0,"RISE",65000.0,1575565423000002
"KRW-BTC",1575565424761,1575565424000,8596000.0,0.006993,"BID",8515000.0,"RISE",81000.0,1575565424000000
"KRW-BTC",1575565425663,1575565425000,8604000.0,0.05,"BID",8515000.0,"RISE",89000.0,1575565425000000
"KRW-BTC",1575565429058,1575565428000,8595000.0,0.00116496,"ASK",8515000.0,"RISE",80000.0,1575565428000000
"KRW-BCH",1575565429179,1575565429000,245300.0,0.54319504,"BID",244300.0,"RISE",1000.0,1575565429000000
"KRW-BCH",1575565429944,1575565429000,245700.0,1.95779987,"BID",244300.0,"RISE",1400.0,1575565429000001
"KRW-ETH",1575565439766,1575565439000,172150.0,1.0,"ASK",171650.0,"RISE",500.0,1575565439000000
"KRW-ETH",1575565439801,1575565439000,172150.0,0.2,"ASK",171650.0,"RISE",500.0,1575565439000001
"KRW-ETH",1575565439812,1575565439000,172150.0,0.44643096,"ASK",171650.0,"RISE",500.0,1575565439000002
"KRW-BTC",1575565444274,1575565443000,8603000.0,0.2526,"BID",8515000.0,"RISE",88000.0,1575565443000000
"KRW-XRP",1575565446288,1575565446000,255.0,7207.40275337,"ASK",253.0,"RISE",2.0,1575565446000000
"KRW-ETH",1575565451003,1575565450000,172600.0,0.01,"BID",171650.0,"RISE",950.0,1575565450000000
"KRW-BTC",1575565457172,1575565457000,8603000.0,0.01862225,"ASK",8515000.0,"RISE",88000.0,1575565457000000
"KRW-BCH",1575565458954,1575565458000,245450.0,6.0,"ASK",244300.0,"RISE",1150.0,1575565458000000
"KRW-BCH",1575565458988,1575565458000,245400.0,4.5,"ASK",244300.0,"RISE",1100.0,1575565458000001
"KRW-BCH",1575565459005,1575565458000,245350.0,2.5,"ASK",244300.0,"RISE",1050.0,1575565458000002
"KRW-BCH",1575565459019,1575565458000,245350.0,8.064,"ASK",244300.0,"RISE",1050.0,1575565458000003
"KRW-BCH",1575565459595,1575565459000,245350.0,5.4,"BID",244300.0,"RISE",1050.0,1575565459000000
"KRW-BCH",1575565459748,1575565459000,245350.0,0.54220013,"BID",244300.0,"RISE",1050.0,1575565459000001
"KRW-BCH",1575565459865,1575565459000,245350.0,7.2,"BID",244300.0,"RISE",1050.0,1575565459000002
"KRW-BCH",1575565460403,1575565460000,245350.0,10.0,"BID",244300.0,"RISE",1050.0,1575565460000000
"KRW-XRP",1575565461247,1575565461000,255.0,2.0,"ASK",253.0,"RISE",2.0,1575565461000000
"KRW-BCH",1575565463121,1575565463000,245350.0,10.0,"BID",244300.0,"RISE",1050.0,1575565463000000
"KRW-BTC",1575565464834,1575565464000,8604000.0,0.02482966,"BID",8515000.0,"RISE",89000.0,1575565464000000
"KRW-BTC",1575565464844,1575565464000,8604000.0,0.03724449,"BID",8515000.0,"RISE",89000.0,1575565464000001
"KRW-BTC",1575565464858,1575565464000,8604000.0,0.1404495,"BID",8515000.0,"RISE",89000.0,1575565464000002
"KRW-XRP",1575565464979,1575565464000,256.0,1.9911919,"BID",253.0,"RISE",3.0,1575565464000000
"KRW-BCH",1575565465605,1575565465000,245350.0,0.39937905,"BID",244300.0,"RISE",1050.0,1575565465000000
"KRW-BTC",1575565465651,1575565465000,8604000.0,0.01140574,"ASK",8515000.0,"RISE",89000.0,1575565465000000
"KRW-BTC",1575565471498,1575565471000,8604000.0,0.21598007,"ASK",8515000.0,"RISE",89000.0,1575565471000000
"KRW-BCH",1575565472742,1575565472000,245350.0,78.86813774,"BID",244300.0,"RISE",1050.0,1575565472000000
"KRW-XRP",1575565475670,1575565475000,256.0,165.93656296,"BID",253.0,"RISE",3.0,1575565475000000
"KRW-BTC",1575565480707,1575565480000,8603000.0,0.41803286,"BID",8515000.0,"RISE",88000.0,1575565480000000
"KRW-BTC",1575565480738,1575565480000,8605000.0,0.001,"BID",8515000.0,"RISE",90000.0,1575565480000001
"KRW-BTC",1575565480748,1575565480000,8605000.0,0.20976714,"BID",8515000.0,"RISE",90000.0,1575565480000002
"KRW-BTC",1575565482103,1575565480000,8606000.0,0.002,"BID",8515000.0,"RISE",91000.0,1575565480000003
"KRW-BTC",1575565482134,1575565480000,8607000.0,0.256,"BID",8515000.0,"RISE",92000.0,1575565480000004
"KRW-BTC",1575565482148,1575565481000,8611000.0,0.043,"BID",8515000.0,"RISE",96000.0,1575565481000000
"KRW-BTC",1575565482161,1575565481000,8614000.0,0.303,"BID",8515000.0,"RISE",99000.0,1575565481000001
"KRW-BTC",1575565482175,1575565481000,8614000.0,1.342,"BID",8515000.0,"RISE",99000.0,1575565481000002
"KRW-BTC",1575565482187,1575565481000,8615000.0,0.001,"BID",8515000.0,"RISE",100000.0,1575565481000003
"KRW-BTC",1575565482202,1575565481000,8615000.0,0.26,"BID",8515000.0,"RISE",100000.0,1575565481000004
"KRW-BTC",1575565482217,1575565481000,8616000.0,1.304,"BID",8515000.0,"RISE",101000.0,1575565481000005
